Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Ana,2025-04-02 03:54:13,00:40:54,,Judge Dee's Mystery: Season 1: Episode 9,,Comcast X1 ARM 4K MVPD STB,00:41:11,00:41:11,CA (Canada)
Ana,2025-04-02 03:01:26,00:42:27,,Judge Dee's Mystery: Season 1: Episode 8,,Comcast X1 ARM 4K MVPD STB,00:42:28,00:42:28,CA (Canada)
Ana,2025-04-01 21:15:48,00:00:08,Autoplayed: user action: None; ,The Untamed: Season 1_hook_04_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:08,00:00:08,CA (Canada)
Ana,2025-04-01 03:45:50,00:00:12,Autoplayed: user action: None; ,Judge Dee's Mystery: Season 1: Episode 8,,Comcast X1 ARM 4K MVPD STB,00:00:29,Not latest view,CA (Canada)
Ana,2025-04-01 02:46:20,00:37:55,,Judge Dee's Mystery: Season 1: Episode 7,,Comcast X1 ARM 4K MVPD STB,00:39:23,00:39:23,CA (Canada)
Ana,2025-04-01 01:06:57,00:01:11,Autoplayed: user action: None; ,Judge Dee's Mystery: Season 1: Episode 7,,Comcast X1 ARM 4K MVPD STB,00:01:28,Not latest view,CA (Canada)
Ana,2025-04-01 00:32:52,00:23:12,,Judge Dee's Mystery: Season 1: Episode 6,,Comcast X1 ARM 4K MVPD STB,00:37:44,00:37:44,CA (Canada)
Ana,2025-03-31 03:33:50,00:14:20,,Judge Dee's Mystery: Season 1: Episode 6,,Comcast X1 ARM 4K MVPD STB,00:14:37,Not latest view,CA (Canada)
Ana,2025-03-31 03:15:33,00:18:12,,Judge Dee's Mystery: Season 1: Episode 5,,Comcast X1 ARM 4K MVPD STB,00:39:14,00:39:14,CA (Canada)
Ana,2025-03-30 22:14:34,00:20:45,,Judge Dee's Mystery: Season 1: Episode 5,,Comcast X1 ARM 4K MVPD STB,00:21:02,Not latest view,CA (Canada)
Ana,2025-03-30 21:29:01,00:45:31,,Judge Dee's Mystery: Season 1: Episode 4,,Comcast X1 ARM 4K MVPD STB,00:45:48,00:45:48,CA (Canada)
Ana,2025-03-30 21:14:56,00:14:02,,Judge Dee's Mystery: Season 1: Episode 3,,Comcast X1 ARM 4K MVPD STB,00:37:55,00:37:55,CA (Canada)
Ana,2025-03-30 04:45:06,00:23:39,,Judge Dee's Mystery: Season 1: Episode 3,,Comcast X1 ARM 4K MVPD STB,00:23:56,Not latest view,CA (Canada)
Ana,2025-03-30 04:34:03,00:10:42,,Judge Dee's Mystery: Season 1: Episode 2,,Comcast X1 ARM 4K MVPD STB,00:39:24,00:39:24,CA (Canada)
Ana,2025-03-30 04:33:42,00:00:08,,Judge Dee's Mystery: Season 1: Episode 1,,Comcast X1 ARM 4K MVPD STB,00:02:26,00:02:26,CA (Canada)
Ana,2025-03-30 01:05:43,00:16:09,,Judge Dee's Mystery: Season 1: Episode 2,,Comcast X1 ARM 4K MVPD STB,00:28:45,Not latest view,CA (Canada)
Ana,2025-03-30 01:02:59,00:02:19,,Judge Dee's Mystery: Season 1: Episode 1,,Comcast X1 ARM 4K MVPD STB,00:02:19,Not latest view,CA (Canada)
Ana,2025-03-29 23:28:17,00:12:20,,Judge Dee's Mystery: Season 1: Episode 2,,Comcast X1 ARM 4K MVPD STB,00:12:37,Not latest view,CA (Canada)
Ana,2025-03-29 22:40:16,00:47:27,,Judge Dee's Mystery: Season 1: Episode 1,,Comcast X1 ARM 4K MVPD STB,00:47:27,Not latest view,CA (Canada)
Ana,2025-03-29 22:40:04,00:00:09,Autoplayed: user action: User_Interaction; ,Judge Dee's Mystery: Season 1_hook_01_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:09,00:00:09,CA (Canada)
Ana,2025-03-29 22:39:40,00:00:20,Autoplayed: user action: User_Interaction; ,The Untamed: Season 1_hook_04_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:20,Not latest view,CA (Canada)
Ana,2025-03-29 22:38:21,00:00:10,Autoplayed: user action: None; ,Season 2 Clip 3: The Empress,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:10,00:00:10,CA (Canada)
Ana,2025-03-29 22:05:04,00:32:26,,The Leopard: Limited Series: Episode 3,,Comcast X1 ARM 4K MVPD STB,00:32:26,00:32:26,CA (Canada)
Ana,2025-03-29 22:04:15,00:00:06,,The Leopard: Limited Series: Episode 1,,Comcast X1 ARM 4K MVPD STB,00:00:49,00:00:49,CA (Canada)
Ana,2025-03-29 22:02:18,00:00:11,,The Leopard: Limited Series: Episode 1,,Comcast X1 ARM 4K MVPD STB,00:00:44,Not latest view,CA (Canada)
Ana,2025-03-29 22:01:55,00:00:05,,The Leopard: Limited Series: Episode 1,,Comcast X1 ARM 4K MVPD STB,00:00:38,Not latest view,CA (Canada)
Ana,2025-03-29 22:01:10,00:00:09,Autoplayed: user action: None; ,Beauty Inside: Season 1 - CLM 7,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:09,00:00:09,CA (Canada)
Ana,2025-03-29 22:00:32,00:00:11,Autoplayed: user action: None; ,Moment of High Emotion Clip: Ehrengard: The Art of Seduction,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:11,00:00:11,CA (Canada)
Ana,2025-03-29 22:00:21,00:00:09,Autoplayed: user action: None; ,The Last Wife_hook_01_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:09,00:00:09,CA (Canada)
Ana,2025-03-29 21:59:16,00:00:07,Autoplayed: user action: None; ,Season 1 Supporting Character Clip 2: Crash Course in Romance,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:07,00:00:07,CA (Canada)
Ana,2025-03-29 21:58:58,00:00:12,Autoplayed: user action: None; ,Crash Landing on You: Season 1 - CLM 4,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:12,00:00:12,CA (Canada)
Ana,2025-03-29 21:58:30,00:00:07,Autoplayed: user action: None; ,Limited Series Informative Clip: L'Affaire Bettencourt : Scandale chez la femme la plus riche du monde,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:07,00:00:07,CA (Canada)
Ana,2025-03-29 21:57:21,00:00:13,Autoplayed: user action: None; ,La venganza de Analía: Season 1_hook_primary_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:13,00:00:13,CA (Canada)
Ana,2025-03-29 21:56:33,00:00:13,Autoplayed: user action: None; ,Season 1 Genre Specific Moment Clip 3: Heeramandi: The Diamond Bazaar,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:13,00:00:13,CA (Canada)
Ana,2025-03-29 21:56:04,00:00:10,Autoplayed: user action: None; ,Part 1 Clip 4: One Hundred Years of Solitude,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:10,00:00:10,CA (Canada)
Ana,2025-03-29 21:55:40,00:00:09,Autoplayed: user action: None; ,Kingdom: Season 1 (Hook 2),HOOK,Comcast X1 ARM 4K MVPD STB,00:00:09,00:00:09,CA (Canada)
Ana,2025-03-29 21:55:28,00:00:09,Autoplayed: user action: None; ,Season 2 Clip 2: Midnight at the Pera Palace,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:09,00:00:09,CA (Canada)
Ana,2025-03-29 21:55:19,00:00:05,Autoplayed: user action: None; ,Season 2 Cliffhanger Clip: The Beauty Queen of Jerusalem,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:05,00:00:05,CA (Canada)
Ana,2025-03-29 21:55:05,00:00:06,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: Les combattantes,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:06,00:00:06,CA (Canada)
Ana,2025-03-29 21:54:19,00:00:26,Autoplayed: user action: None; ,Las Villamizar (non branded): Season 1 - CLM 3,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:26,00:00:26,CA (Canada)
Ana,2025-03-29 21:54:10,00:00:06,Autoplayed: user action: None; ,My Country: The New Age: Season 1 (Trailer),TRAILER,Comcast X1 ARM 4K MVPD STB,00:00:06,00:00:06,CA (Canada)
Ana,2025-03-29 21:53:45,00:00:04,Autoplayed: user action: None; ,Hotel del Luna: Limited Series_hook_01_16x9_backfill,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:04,00:00:04,CA (Canada)
Ana,2025-03-29 21:52:15,00:00:13,Autoplayed: user action: None; ,Mr. Queen: Season 1_hook_primary_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:13,00:00:13,CA (Canada)
Ana,2025-03-29 05:22:52,00:00:21,,Mr. Sunshine: Season 1 (Trailer 2),TRAILER,Comcast X1 ARM 4K MVPD STB,00:00:21,00:00:21,CA (Canada)
Ana,2025-03-29 05:21:54,00:00:56,,The Untamed: Season 1_hook_04_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:56,Not latest view,CA (Canada)
Ana,2025-03-29 05:20:36,00:01:15,,Judge Dee's Mystery: Season 1_hook_primary_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:01:15,00:01:15,CA (Canada)
Ana,2025-03-29 05:19:09,00:01:24,,My Country: The New Age: Season 1 (Trailer),TRAILER,Comcast X1 ARM 4K MVPD STB,00:01:24,Not latest view,CA (Canada)
Ana,2025-03-29 05:17:04,00:02:02,,Trailer: The Life List,TRAILER,Comcast X1 ARM 4K MVPD STB,00:02:02,00:02:02,CA (Canada)
Ana,2025-03-29 05:15:39,00:01:22,,"Poong, the Joseon Psychiatrist: Season 1_hook_primary_16x9",HOOK,Comcast X1 ARM 4K MVPD STB,00:01:22,00:01:22,CA (Canada)
Ana,2025-03-29 05:14:41,00:00:55,,Secret Royal Inspector & Joy: Season 1_hook_01_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:55,00:00:55,CA (Canada)
Ana,2025-03-29 05:12:43,00:01:55,,Trailer: When Life Gives You Tangerines,TRAILER,Comcast X1 ARM 4K MVPD STB,00:01:55,00:01:55,CA (Canada)
Ana,2025-03-29 05:11:03,00:01:36,,Season 1 Trailer: The Lady's Companion,TRAILER,Comcast X1 ARM 4K MVPD STB,00:01:36,00:01:36,CA (Canada)
Ana,2025-03-29 05:10:04,00:00:57,,Mr. Queen: Season 1_hook_primary_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:00:57,Not latest view,CA (Canada)
Ana,2025-03-29 05:09:00,00:01:02,Autoplayed: user action: None; ,The Princess Weiyoung: Season 1_hook_02_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:01:02,00:01:02,CA (Canada)
Ana,2025-03-29 03:59:28,01:08:09,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 16,,Comcast X1 ARM 4K MVPD STB,01:08:58,01:08:58,CA (Canada)
Ana,2025-03-29 02:22:09,00:00:12,Autoplayed: user action: None; ,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 16,,Comcast X1 ARM 4K MVPD STB,00:00:12,Not latest view,CA (Canada)
Ana,2025-03-29 00:55:02,01:03:59,Autoplayed: user action: User_Interaction; ,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 15,,Comcast X1 ARM 4K MVPD STB,01:04:00,01:04:00,CA (Canada)
Ana,2025-03-28 23:50:42,00:58:41,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 14,,Comcast X1 ARM 4K MVPD STB,01:07:53,01:07:53,CA (Canada)
Ana,2025-03-28 04:14:39,00:09:24,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 14,,Comcast X1 ARM 4K MVPD STB,00:09:24,Not latest view,CA (Canada)
Ana,2025-03-28 02:48:31,01:06:23,Autoplayed: user action: User_Interaction; ,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 13,,Comcast X1 ARM 4K MVPD STB,01:06:24,01:06:24,CA (Canada)
Ana,2025-03-28 01:17:23,01:07:45,Autoplayed: user action: User_Interaction; ,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 12,,Comcast X1 ARM 4K MVPD STB,01:07:45,01:07:45,CA (Canada)
Ana,2025-03-28 00:04:28,00:46:21,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 11,,Comcast X1 ARM 4K MVPD STB,01:05:37,01:05:37,CA (Canada)
Ana,2025-03-28 00:02:34,00:01:17,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 11,,Comcast X1 ARM 4K MVPD STB,00:20:54,Not latest view,CA (Canada)
Ana,2025-03-27 22:46:02,00:01:10,Autoplayed: user action: None; ,Flower Crew: Joseon Marriage Agency: Limited Series_hook_02_16x9_backfill,HOOK,Comcast X1 ARM 4K MVPD STB,00:01:10,00:01:10,CA (Canada)
Ana,2025-03-27 22:45:53,00:00:04,Autoplayed: user action: None; ,Season 1 Trailer 2: La legge di Lidia Poët,TRAILER,Comcast X1 ARM 4K MVPD STB,00:00:04,00:00:04,CA (Canada)
Ana,2025-03-27 04:13:37,00:19:46,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 11,,Comcast X1 ARM 4K MVPD STB,00:19:46,Not latest view,CA (Canada)
Ana,2025-03-27 03:06:42,00:47:59,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 10,,Comcast X1 ARM 4K MVPD STB,01:08:36,01:08:36,CA (Canada)
Ana,2025-03-26 03:57:54,00:20:38,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 10,,Comcast X1 ARM 4K MVPD STB,00:20:38,Not latest view,CA (Canada)
Ana,2025-03-26 03:26:58,00:30:04,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 9,,Comcast X1 ARM 4K MVPD STB,01:06:02,01:06:02,CA (Canada)
Ana,2025-03-25 23:19:53,00:07:30,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 9,,Comcast X1 ARM 4K MVPD STB,00:35:18,Not latest view,CA (Canada)
Ana,2025-03-25 03:22:10,00:27:50,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 9,,Comcast X1 ARM 4K MVPD STB,00:27:50,Not latest view,CA (Canada)
Ana,2025-03-25 02:37:42,00:34:01,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 8,,Comcast X1 ARM 4K MVPD STB,01:04:47,01:04:47,CA (Canada)
Ana,2025-03-25 02:35:51,00:01:39,Autoplayed: user action: None; ,La cocinera de Castamar: Season 1_hook_05_16x9,HOOK,Comcast X1 ARM 4K MVPD STB,00:01:39,00:01:39,CA (Canada)
Ana,2025-03-24 02:53:38,00:30:47,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 8,,Comcast X1 ARM 4K MVPD STB,00:30:47,Not latest view,CA (Canada)
Ana,2025-03-24 02:41:41,00:11:31,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 7,,Comcast X1 ARM 4K MVPD STB,01:04:25,01:04:25,CA (Canada)
Ana,2025-03-24 01:28:12,00:52:28,Autoplayed: user action: User_Interaction; ,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 7,,Comcast X1 ARM 4K MVPD STB,00:51:55,Not latest view,CA (Canada)
Ana,2025-03-24 00:22:42,01:04:35,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 6,,Comcast X1 ARM 4K MVPD STB,01:05:06,01:05:06,CA (Canada)
Ana,2025-03-23 23:05:08,01:05:35,Autoplayed: user action: User_Interaction; ,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 5,,Comcast X1 ARM 4K MVPD STB,01:05:35,01:05:35,CA (Canada)
Ana,2025-03-23 22:18:33,00:46:13,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 4,,Comcast X1 ARM 4K MVPD STB,01:06:59,01:06:59,CA (Canada)
Ana,2025-03-23 19:15:01,00:20:37,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 4,,Comcast X1 ARM 4K MVPD STB,00:20:37,Not latest view,CA (Canada)
Ana,2025-03-23 18:08:21,01:06:03,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 3,,Comcast X1 ARM 4K MVPD STB,01:06:34,01:06:34,CA (Canada)
Ana,2025-03-23 17:58:40,00:09:32,,Flower Crew: Joseon Marriage Agency: Limited Series: Episode 2,,Comcast X1 ARM 4K MVPD STB,01:09:40,01:09:40,CA (Canada)
