Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Daniel,android,browseTitles,,,2025-03-29 22:46:23
Daniel,android,playback,,,2025-03-29 22:28:53
Daniel,android,browseTitles,,,2025-03-29 22:28:53
Daniel,android,browseTitles,,,2025-03-29 22:15:31
Daniel,android,playback,,,2025-03-29 22:15:31
Daniel,android,browseTitles,,,2025-03-29 22:15:27
Daniel,android,profilesGate,,,2025-03-29 22:15:26
Daniel,android,cachedVideos,,,2025-03-28 05:13:29
Daniel,android,cachedVideos,,,2025-03-28 04:35:47
Daniel,android,cachedVideos,,,2025-03-28 03:49:21
Daniel,android,cachedVideos,,,2025-03-28 02:32:40
Daniel,android,cachedVideos,,,2025-03-28 01:32:18
Daniel,android,cachedVideos,,,2025-03-28 00:41:20
Daniel,android,cachedVideos,,,2025-03-28 00:10:58
Daniel,android,playback,,,2025-03-28 00:02:44
Daniel,android,cachedVideos,,,2025-03-28 00:02:44
Daniel,android,playback,,,2025-03-27 23:35:29
Daniel,android,playback,,,2025-03-27 23:05:28
Daniel,android,cachedVideos,,,2025-03-27 22:00:24
Daniel,android,playback,,,2025-03-27 22:00:24
Daniel,android,cachedVideos,,,2025-03-27 22:00:22
Daniel,android,myProfileView,,,2025-03-27 22:00:22
Daniel,android,myProfileView,,,2025-03-27 22:00:21
Daniel,android,playback,,,2025-03-27 22:00:20
Daniel,android,movieDetails,,,2025-03-27 22:00:20
Daniel,android,movieDetails,,,2025-03-27 22:00:20
Daniel,android,playback,,,2025-03-27 20:32:11
Daniel,android,playback,,,2025-03-27 20:32:10
Daniel,android,playback,,,2025-03-27 20:31:24
Daniel,android,postPlay,,,2025-03-27 20:31:24
Daniel,android,playback,,,2025-03-27 20:11:09
Daniel,android,postPlay,,,2025-03-27 20:11:09
Daniel,android,playback,,,2025-03-27 19:44:37
Daniel,android,postPlay,,,2025-03-27 19:44:37
Daniel,android,playback,,,2025-03-27 19:40:57
Daniel,android,movieDetails,,,2025-03-27 19:40:56
Daniel,android,profilesGate,,,2025-03-27 19:40:53
Daniel,android,movieDetails,,,2025-03-27 19:40:53
Daniel,android,playback,,,2025-03-27 18:11:46
Daniel,android,browseTitles,,,2025-03-27 18:11:46
Daniel,android,playback,,,2025-03-27 18:07:23
