Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Daniel,Kung Fu Panda 3,DefaultWidevineAndroidPhone,2025-03-30 21:39:16,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1634,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":20787,""mediaOffsetMs"":19797},{""eventType"":""playing"",""sessionOffsetMs"":20836,""mediaOffsetMs"":19811},{""eventType"":""playing"",""sessionOffsetMs"":81165,""mediaOffsetMs"":80085},{""eventType"":""paused"",""sessionOffsetMs"":5698766,""mediaOffsetMs"":5697010},{""eventType"":""stopped"",""sessionOffsetMs"":5699267,""mediaOffsetMs"":5697010}]"
Daniel,Kung Fu Panda 3 - CLM 16,DefaultWidevineAndroidPhone,2025-03-30 19:23:46,CA,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1678,""mediaOffsetMs"":0}]"
Daniel,Kung Fu Panda 3,DefaultWidevineAndroidPhone,2025-03-30 19:22:41,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1073,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":14063,""mediaOffsetMs"":13596},{""eventType"":""playing"",""sessionOffsetMs"":20173,""mediaOffsetMs"":19797},{""eventType"":""playing"",""sessionOffsetMs"":63624,""mediaOffsetMs"":63104},{""eventType"":""playing"",""sessionOffsetMs"":4752940,""mediaOffsetMs"":4752469},{""eventType"":""playing"",""sessionOffsetMs"":4807388,""mediaOffsetMs"":4806869},{""eventType"":""paused"",""sessionOffsetMs"":5698198,""mediaOffsetMs"":5697007},{""eventType"":""stopped"",""sessionOffsetMs"":5698621,""mediaOffsetMs"":5697007}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-30 19:22:30,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1479893},{""eventType"":""playing"",""sessionOffsetMs"":823,""mediaOffsetMs"":1479893},{""eventType"":""stopped"",""sessionOffsetMs"":3880,""mediaOffsetMs"":1482794}]"
Daniel,Batman: The Animated Series: Season 1_hook_02_16x9_backfill,DefaultWidevineAndroidPhone,2025-03-30 16:48:40,CA,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":43464,""mediaOffsetMs"":0}]"
Daniel,Batman: The Animated Series: Season 1_hook_02_16x9_backfill,DefaultWidevineAndroidPhone,2025-03-30 16:20:34,CA,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":15249,""mediaOffsetMs"":0}]"
Daniel,Batman: The Animated Series: Season 1_hook_02_16x9_backfill,DefaultWidevineAndroidPhone,2025-03-30 16:20:34,CA,"[{""eventType"":""start"",""sessionOffsetMs"":1,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":34905,""mediaOffsetMs"":0}]"
Daniel,Batman: The Animated Series: Season 1_hook_02_16x9_backfill,DefaultWidevineAndroidPhone,2025-03-30 07:02:17,CA,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2198,""mediaOffsetMs"":0}]"
Daniel,"Batman: The Animated Series: Season 1: ""Eternal Youth""",DefaultWidevineAndroidPhone,2025-03-30 06:59:52,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":46421},{""eventType"":""playing"",""sessionOffsetMs"":916,""mediaOffsetMs"":46421},{""eventType"":""paused"",""sessionOffsetMs"":2298,""mediaOffsetMs"":47657},{""eventType"":""stopped"",""sessionOffsetMs"":4222,""mediaOffsetMs"":47660}]"
Daniel,Kung Fu Panda 2,DefaultWidevineAndroidPhone,2025-03-29 22:15:30,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":688512},{""eventType"":""playing"",""sessionOffsetMs"":879,""mediaOffsetMs"":688512},{""eventType"":""paused"",""sessionOffsetMs"":8642,""mediaOffsetMs"":696178},{""eventType"":""playing"",""sessionOffsetMs"":11282,""mediaOffsetMs"":696191},{""eventType"":""paused"",""sessionOffsetMs"":800721,""mediaOffsetMs"":1485631},{""eventType"":""stopped"",""sessionOffsetMs"":801870,""mediaOffsetMs"":1485649}]"
