Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Daniel,NFANDROID1-PRV-P-SAMSUSM-G960U-7176-FF5801FEAF26E55CDAE3550CF70A9FF93E9B495A10A2ABB8C6CA3538DAE9A857,DefaultWidevineAndroidPhone,2024-12-05T20:17:46.827,2025-04-02T07:34:06.705,2024-12-05T20:17:46.827,2025-04-02T07:34:06.705,2024-12-05T20:17:46.827,2025-04-02T07:34:06.705,2024-12-05T20:17:46.827,2025-04-02T07:34:06.705,1970-01-01T00:00:00.000
Daniel,COMRGR1005-000C010D0306A228-F88B3786B927,Comcast X1 ARM 4K MVPD STB,2023-08-06T21:25:31.096,2025-04-02T03:54:13.750,2023-08-06T21:25:31.096,2025-04-02T03:54:13.750,2023-08-06T21:25:31.096,2025-04-02T03:54:13.750,2023-08-06T21:25:31.096,2025-04-02T03:54:13.750,1970-01-01T00:00:00.000
Daniel,NFCDCH-02-KFWZ1Y86XCXL9GC8J4VMR8F3D3AH8U,Chrome PC (Cadmium),2023-08-29T23:16:43.976,2025-02-27T14:47:44.675,2023-08-29T23:16:43.976,2025-02-27T14:47:44.675,2023-08-29T23:16:43.976,2025-02-27T14:47:44.675,2023-08-29T23:16:43.976,2025-02-27T14:47:44.675,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-SAMSUSM-G960U-22585-0CEEA2CA652C30B15DB228308DAC2E64349F2B053F840772F772E60467118B0EB,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-SAMSUSM-S921W-31504-F78067D4B4B93D1BFC3778E27F8DC696012F4EFB77F84A23E57E052FC5B2B3E4,DefaultWidevineAndroidPhone,2024-12-25T18:16:39.127,2025-02-15T20:28:03.976,2024-12-25T18:16:39.127,2025-02-15T20:28:03.976,2024-12-25T18:16:39.127,2025-02-15T20:28:03.976,2024-12-25T18:16:39.127,2025-02-15T20:28:03.976,1970-01-01T00:00:00.000
Daniel,NFCDIE-03-LQPQVXWQ2MAA5NC75VVFKXJ47WF8X1,Edge OSS - Windows (Cadmium),2025-01-06T04:45:34.481,2025-01-25T00:55:49.980,2025-01-06T04:45:34.481,2025-01-25T00:55:49.980,2025-01-06T04:45:34.481,2025-01-25T00:55:49.980,2025-01-06T04:45:34.481,2025-01-25T00:55:49.980,1970-01-01T00:00:00.000
Daniel,NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-27454-0B98D078D6FAB07AA455F014602C8CC582DBFF1481F1B102CA402FD39D037DC5,Google Sabrina ATV Set Top Box,2023-08-20T19:26:53.118,2025-01-01T03:52:26.315,2023-08-20T19:26:53.118,2025-01-01T03:52:26.315,2023-08-20T19:26:53.118,2025-01-01T03:52:26.315,2023-08-20T19:26:53.118,2025-01-01T03:52:26.315,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-SAMSUSM-S901W-23945-36809CF24504F93A0BF51D34F631525A5150DD01F8367BBDB24F0495023AAD09,DefaultWidevineAndroidPhone,2023-05-12T05:24:50.920,2024-12-23T14:57:46.745,2023-05-12T05:24:50.920,2024-12-23T14:57:46.745,2023-05-12T05:24:50.920,2024-12-23T14:57:46.745,2023-05-12T05:24:50.920,2024-12-23T14:57:46.745,1970-01-01T00:00:00.000
Daniel,NFCDIE-03-L0Y3VZEQP1HJL0YAG8A58VCPEH8JWE,Edge OSS - Windows (Cadmium),2024-04-04T20:38:08.156,2024-11-19T01:58:02.404,2024-04-04T20:38:08.156,2024-11-19T01:58:02.404,2024-04-04T20:38:08.156,2024-11-19T01:58:02.404,2024-04-04T20:38:08.156,2024-11-19T01:58:02.404,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-320991456481CBCCF4EF3AA8871D7F38FE7BCCC83887C7BE8C13A0CAF3F67AAB,Android DefaultWidevineL3Phone Android Phone,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,2023-07-24T21:56:56.111,2024-11-07T22:23:19.712,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-024ADE953DD3644E63FBE98C9B0CDDC31AD932498C0050AC2EA47F2080765D06D,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-0DC15073F912EF558991E862515BBCD8F8ACF70FD52FAC0E41662E47C7F2FC876,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFCDFF-02-KV0WM6V064EFPTTJUKDQQYM88520XJ,Firefox PC (Cadmium),2024-01-24T02:15:07.606,2024-07-31T00:04:14.248,2024-01-24T02:15:07.606,2024-07-31T00:04:14.248,2024-01-24T02:15:07.606,2024-07-31T00:04:14.248,2024-01-24T02:15:07.606,2024-07-31T00:04:14.248,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-017DE41C32FE6C5346A63E86D5BB0A9781FEA1DC1A2A6D9CF49F5B9A78FB21616,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-00880172EAE35B62CDE3EA9AC6AD22F2FEFF3E9D6B1727CD8815E4CECBDB6935E,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-02B0A7B472B371C25EA640949ECEEC04FFD45D2D92F7EE71CF2063ADA2070088D,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFCDIE-03-KKTA28X3W13CXDQKW83QFM4D5HKD8F,Edge OSS - Windows (Cadmium),2023-12-16T04:12:46.296,2024-04-04T20:06:44.699,2023-12-16T04:15:16.624,2024-04-04T20:06:44.699,2023-12-16T04:12:46.296,2024-04-04T20:06:44.699,2023-12-16T04:15:16.624,2024-04-04T20:06:44.699,1970-01-01T00:00:00.000
Daniel,NFANDROID1-PRV-P-L3-HXY==MP05-8158-0FB99AA26285D6D888FCDCF0E405B73B577D7E4DA857D012C6463BD28DCE7307B,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Daniel,NFCDCH-02-KX1U5DLRFU59VG18ETJFGT5XR0APD6,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Daniel,TSBODMU16B087187,Compal L621 Smart TV,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,2023-05-12T05:30:30.104,2024-02-07T23:36:23.047,1970-01-01T00:00:00.000
