Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:a884:d0c1:ad39:f8d9,CA,Ontario,TORONTO,2024-09-29 18:43:58
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:f85f:72df:95d6:bf95,CA,Ontario,TORONTO,2025-01-26 21:24:27
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:cda6:b413:42b9:730,CA,Ontario,TORONTO,2025-03-29 21:52:11
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:5d42:4092:dacf:ed6c,CA,Ontario,TORONTO,2024-11-20 23:33:45
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:2c89:16a1:b1e3:536f,CA,Ontario,TORONTO,2024-10-01 20:06:55
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:519d:1eed:63a6:488d,CA,Ontario,TORONTO,2024-11-26 02:56:53
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:f5d4:a83b:9311:c820,CA,Ontario,TORONTO,2024-11-09 23:48:08
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:5d11:d1aa:596b:3444,CA,Ontario,TORONTO,2025-03-15 01:39:16
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:8902:100a:f1cd:8137,CA,Ontario,TORONTO,2024-06-16 02:59:17
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:31ca:a064:d339:b090,CA,Ontario,TORONTO,2025-03-27 22:45:53
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:e0c0:d5f0:ce3d:1d15,CA,Ontario,TORONTO,2024-12-24 15:39:29
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:658c:5ae:3847:9c05,CA,Ontario,TORONTO,2024-11-11 21:16:54
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:a0fc:855e:c1d5:b724,CA,Ontario,TORONTO,2025-02-13 00:34:59
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:f8cf:8fcf:6bba:893f,CA,Ontario,TORONTO,2025-03-15 20:41:58
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:b499:d0a8:8580:5142,CA,Ontario,TORONTO,2025-01-15 20:48:48
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:7938:8d8:99e7:feda,CA,Ontario,TORONTO,2025-02-27 02:00:55
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:b19d:76f4:71dc:d584,CA,Ontario,TORONTO,2024-09-04 22:31:51
COMRGR1005-000C010D0306A228-F88B3786B927,Rogers_Arris-Xi6-5.1.1,Rogers_Arris-Xi6-5.1.1,2607:fea8:11dc:f9e0:e419:744a:370d:375,CA,Ontario,TORONTO,2024-06-18 01:00:19
