Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Daniel,2025-03-30 00:22:45,Edr Request Verification,EMAIL,CA,en-CA,en,,GMAIL.COM,https://www.netflix.com/account/getmyinfo?action=approve&edr_id=ff4bf906-30ee-410a-a500-e8194e15eb13&msg_token=EQEAmQABAYEAKnFIe59zykdaTeJjUSFYH2Ch9qwohtnpeS2mYjnifMqZ5KUWM4lJ%2BLwWblGYQdktoU3mSFtzuQkWeozyxOZVT321pgDH6HK6LkVapyZi81%2Bg1QqzRCDnw3ZCrncWHkuqPQuU0lIkePu3mNyuxYoR8cPHx7Ofx%2B40ip9m%2BTtDsoJTbOHP5Ci3QafnIZ1dTXePBC%2B8qMqJqmuNbGR7Dt%2FhgK5a%2F6636fixB7KAWNjShmwltyd9CNS8V9FLPRg8R4oZmkijs5qXoWsS9MnxTVA9HiM2MVKtQBoxICW9rfFzVjVx4iSsWfBQ5i2J%2F2EQyTEtaWQZ91WnqHP3jNaszJvPR2ppvzU%3D&g=c7d815f7-c594-4328-9a9d-c42ac436008e&lkid=URL_EDR_APPROVE&lnktrk=EVO&nftoken=BgiQlevcAxKjAVbQstIx5BhEaNA94lXSrqCKayuUz7DZ006bMwb1t1ydHFf2fVuPA%2FxKqkFuSrIDqTLTtUSt1D%2Fi%2F5GyciAqnYqElQwh9Om%2FKqcDOoP0tVDSYWuQ98yKqQDLy1Bl2PAUzMFtllSnY4rTqSvFkMR9SKQD11tJTqjlcvUNNOsfJiQ5ymtYtRr0miqAQuFn5cUtQiAKfEM1%2B%2FfJQpf8PJPGvpoVa3QYBiIOCgzazDr2Bq5N76mS6O8%3D,2025-03-30 00:22:50,--,1
Daniel,2025-03-30 00:22:11,Confirmation Of Password Change,EMAIL,CA,en-CA,en,,GMAIL.COM,,,--,0
Daniel,2025-03-30 00:21:54,Request To Change Password,EMAIL,CA,en-CA,en,,GMAIL.COM,https://www.netflix.com/password?g=d29ad369-c1e5-458c-8da7-446ab4449ff1&lkid=URL_CTA&lnktrk=EVO&nftoken=BgiQlevcAxKjAWvvnWxSMe1OoG3OpCa%2BZP68hgSFkjTKoebOjfJXRw8rH7mqi27ofo2fGEt1ZQZ1JKpO4U8m2kztAV2dp%2FbMjhFhO7svZmzUwDrEbl6J3yd4ZO01EfTMUM2NYLVlxzjC%2B4vlnWJeXxCLIhxGDBtS5BRjZ%2BN1DxqKSur9p%2FGpIrDkEE533zygt4f5K5gkbP6U1j6CXZq4UUYsfsuDJoNeyUD%2Fv7gYBiIOCgzugF1%2B77PEc507lwQ%3D,2025-03-30 00:22:00,--,1
Daniel,2025-03-30 00:20:49,Edr Request Verification,EMAIL,CA,en-CA,en,,GMAIL.COM,https://www.netflix.com/account/getmyinfo?action=approve&edr_id=7d772c49-2a05-439c-94ef-8aae9cc42093&msg_token=EQEAmQABAYEAGkIrJ0%2BlEeZYTAtZrO3HnkjLUJAoHyjFnwLvZYMAzcN4yC68cHRO4W2ABE1uMYWD2WXLoQCcRT%2BsdRoK5X3aH52IRTTii0lxrpkW2e6tL1%2Fn4%2FLzebxugxBC2yhGNkMT6THHPoNylgxAQCH5reHv5ReQ1O5FvCE2LoSTo%2F1eb5st1%2FNeq3fP05bZRRU3a6sRt%2Ff1f%2B8eyct94kYXGlLvmYjYkDmJjQKUERiyPZd9SKIUD1wRZEwh4X2ypA%2B3nhopL4xj2GcIpHf8a0r2acXo8wLYQ%2BItOnfApNmkzaAauCCvU5dX2l7yxyOzH8wZt3Eydu7GH4WmNMqDvly6M04OcL8DDf8%3D&g=5cf27f78-d446-480a-915c-4a3ec02221d7&lkid=URL_EDR_APPROVE&lnktrk=EVO&nftoken=BgiQlevcAxKjAad%2BCpC6iW8Wypxv9kyiJ3E8R4E2q%2FRKSC2iIUC4ANTeSvERQBouz%2BJ%2FFnA4xNEd2b2OmTO1FKqpWFO22D2hEQgoKbRZfqdmStLkvqJSwyZqiB3MZ9h0FQKF%2FZSF2nWkBRf7yItI2wONLqwP3hHmUlSIKDzNPXqs6NZvaYTQuP%2FhgHRpr6ZOEUMNrwBhsHZz5WQBxe%2BNn3i5yxB6v6%2BAhS2mSKAYBiIOCgwjWkv%2BeDHVyZxgtMA%3D,2025-03-30 00:21:06,--,1
Daniel,2025-03-29 00:47:06,Multichannel Thumbs,PUSH,CA,en-CA,en,Kung Fu Panda,GMAIL.COM,,,samsung_SM-G960U,0
Daniel,2025-03-29 00:47:04,Multichannel Thumbs,NOTIFICATIONS,CA,,,Kung Fu Panda,GMAIL.COM,,,--,0
Daniel,2025-03-27 19:03:32,Multichannel Coming Soon,PUSH,CA,en-CA,en,WITCH WATCH,GMAIL.COM,,,samsung_SM-G960U,0
Daniel,2025-03-27 19:03:30,Multichannel Coming Soon,NOTIFICATIONS,CA,,,WITCH WATCH,GMAIL.COM,,,--,0
Daniel,2025-03-26 20:30:12,Multichannel Thumbs,PUSH,CA,en-CA,en,Wolf King,GMAIL.COM,,,samsung_SM-G960U,0
Daniel,2025-03-26 20:30:10,Multichannel Thumbs,NOTIFICATIONS,CA,,,Wolf King,GMAIL.COM,,,--,0
