Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2025-03-11,,,payment_transaction,CC,5842,,,,CAD,,9.03,SALE,APPROVED,,CA,
2025-03-11,,,payment_transaction,CC,5842,,,,CAD,,9.03,SALE,NEW,,CA,
2025-03-11,2025-03-11,2025-04-10,SUBSCRIPTION,VISA,5842,,HELIX,7.99,CAD,1.04,9.03,SALE,NEW,SETTLED,CA,2025-04-11
2025-03-11,2025-03-11,2025-04-10,SUBSCRIPTION,VISA,5842,,HELIX,7.99,CAD,1.04,9.03,SALE,APPROVED,SETTLED,CA,2025-04-11
2025-02-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,APPROVED,,CA,
2025-02-11,2025-02-11,2025-03-10,SUBSCRIPTION,VISA,5842,,VANTIV,5.99,CAD,0.78,6.77,SALE,NEW,SETTLED,CA,2025-03-11
2025-02-11,2025-02-11,2025-03-10,SUBSCRIPTION,VISA,5842,,VANTIV,5.99,CAD,0.78,6.77,SALE,APPROVED,SETTLED,CA,2025-03-11
2025-02-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,NEW,,CA,
2025-01-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,APPROVED,,CA,
2025-01-11,2025-01-11,2025-02-10,SUBSCRIPTION,VISA,5842,,VANTIV,5.99,CAD,0.78,6.77,SALE,APPROVED,SETTLED,CA,2025-02-11
2025-01-11,2025-01-11,2025-02-10,SUBSCRIPTION,VISA,5842,,VANTIV,5.99,CAD,0.78,6.77,SALE,NEW,SETTLED,CA,2025-02-11
2025-01-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,NEW,,CA,
2024-12-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,NEW,,CA,
2024-12-11,2024-12-11,2025-01-10,SUBSCRIPTION,VISA,5842,,VANTIV,5.99,CAD,0.78,6.77,SALE,NEW,SETTLED,CA,2025-01-11
2024-12-11,2024-12-11,2025-01-10,SUBSCRIPTION,VISA,5842,,VANTIV,5.99,CAD,0.78,6.77,SALE,APPROVED,SETTLED,CA,2025-01-11
2024-12-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,APPROVED,,CA,
2024-11-11,2024-11-11,2024-12-10,SUBSCRIPTION,VISA,5842,,VANTIV,5.99,CAD,0.78,6.77,SALE,NEW,SETTLED,CA,2024-12-11
2024-11-11,2024-11-11,2024-12-10,SUBSCRIPTION,VISA,5842,,VANTIV,5.99,CAD,0.78,6.77,SALE,APPROVED,SETTLED,CA,2024-12-11
2024-11-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,APPROVED,,CA,
2024-11-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,NEW,,CA,
2024-10-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,APPROVED,,CA,
2024-10-11,,,payment_transaction,CC,5842,,,,CAD,,6.77,SALE,NEW,,CA,
